p2train-0	他 们 觉 得 父 母 的 行 为 方 式 和 价 值 观 念 太 不 老 了 	18 
p2train-2251	因 此 我 跟 爸 爸 常 常 吵 架 了 	11 
p2train-2252	我 越 长 大 越 像 您 	3 
p2train-2253	我 祝 贵 公 司 的 日 益 兴 隆 	6 
p2train-2254	但 还 没 毕 业 学 校 	6 7 
p2train-2255	我 想 提 的 几 条 建 议 	4 
p2train-2256	坐 飞 机 到 母 校 去 回 头 看 	8 9 
p2train-2257	有 许 多 人 说 与 我 谈 话 简 直 是 在 跟 我 妈 妈 在 说 话 	18 
p2train-2258	可 是 他 的 经 理 让 他 回 家 了 	11 
p2train-2259	这 一 小 物 品 来 就 能 证 明 “ 绿 色 食 品 ” 的 重 要 性 	6 
p2train-2260	我 也 到 了 七 月 份 就 会 回 日 本 去 	2 
p2train-2261	那 天 是 特 别 热 的 有 一 天 	8 
p2train-2262	说 “ 代 沟 ” 这 一 问 题 是 不 只 是 现 代 人 们 的 问 题 	10 
p2train-2263	而 中 国 没 有 什 么 主 流 宗 教 	1 
p2train-2264	因 此 在 这 个 作 文 上 我 只 谈 到 的 就 是 泰 国 的 流 行 歌 曲 	10 
p2train-2265	首 先 应 该 有 人 们 同 意 医 院 进 行 安 乐 死 	5 
p2train-2266	因 为 我 是 大 四 吧 	7 
p2train-2267	我 觉 得 产 生 了 这 些 困 难 是 从 上 高 中 的 时 候 	12 
p2train-2268	两 个 人 一 起 共 同 挑 水 比 一 个 人 做 方 便 得 多 	6 7 
p2train-2269	做 父 母 的 不 能 以 他 们 的 时 代 的 方 式 去 管 教 孩 子 	10 
p2train-2270	他 们 三 个 又 登 了 一 座 高 山 后 又 找 到 了 水 库 	13 
p2train-2271	我 们 渐 渐 能 达 到 打 成 一 片 	6 7 
p2train-2272	令 我 对 她 的 爱 意 随 着 年 龄 的 增 长 而 更 转 为 尊 崇 	1 
p2train-2273	我 想 在 工 作 上 用 汉 语 或 者 跟 中 国 人 交 流 	10 11 
p2train-2274	不 光 说 是 日 本 还 有 其 他 很 多 发 达 国 家 也 应 该 重 视 这 点 	3 
p2train-2275	不 知 您 们 的 身 体 健 康 如 何 	8 9 
p2train-2276	使 用 化 肥 和 农 药 会 有 好 处 与 坏 处 的 两 个 方 面 	15 
p2train-2277	那 天 我 在 她 的 病 床 上 发 誓 了 	12 
p2train-2278	都 是 不 象 话 	2 
p2train-2279	我 上 的 小 学 在 于 东 京 北 边 的 小 村 子 里 	7 
p2train-2280	所 以 我 认 为 就 是 “ 父 母 是 孩 子 的 第 一 任 老 师 ” 	6 7 
p2train-2281	在 许 多 男 女 学 生 之 间 	1 
p2train-2282	我 认 为 最 重 要 的 是 从 人 类 的 共 存 着 想 而 找 出 办 法 	17 
p2train-2283	这 让 青 少 年 们 更 以 为 吸 烟 是 一 种 时 尚 	6 
p2train-2284	但 是 它 的 含 量 成 分 都 有 害 无 益 	5 6 
p2train-2285	但 我 真 正 的 想 法 是 不 是 这 样 的 	8 
p2train-2286	而 且 不 性 格 上 也 有 问 题 	3 
p2train-2287	我 不 是 反 对 “ 安 乐 死 ” 的 	11 
p2train-2288	在 一 个 成 熟 的 人 在 事 业 	1 
p2train-2289	恐 怖 感 和 不 满 	3 
p2train-2290	我 们 通 过 听 流 行 歌 曲 不 但 可 以 喜 欢 只 是 音 乐 	16 17 
p2train-2291	简 直 是 个 人 山 人 海 	4 
p2train-2292	所 以 这 个 时 代 父 母 怎 样 看 待 孩 子 很 重 要 的 	18 
p2train-2293	您 经 常 给 我 们 教 育 了 	9 
p2train-2294	我 已 经 在 物 质 丰 富 的 社 会 上 的 生 活 习 惯 了 	13 
p2train-2295	但 我 不 得 不 能 喜 欢 流 行 音 乐 	6 
p2train-2296	我 知 道 了 妈 妈 的 身 体 好 多 了 	4 
p2train-2297	像 这 个 某 市 政 府 一 样 	4 
p2train-2298	在 一 般 的 成 长 发 育 的 少 年 男 女 	1 
p2train-2299	让 我 一 个 人 去 外 国 是 对 他 们 来 说 是 很 难 决 定 的 	9 
p2train-2300	以 后 一 直 在 日 本 长 大 了 	10 
p2train-2301	会 吃 下 去 	1 
p2train-2302	鼓 励 了 我 的 信 心 	3 
p2train-2303	不 会 有 今 天 的 我 了 	8 
p2train-2304	有 的 父 母 看 孩 子 小 的 时 候 让 他 玩 儿 一 玩 儿 之 一 	19 20 
p2train-2305	一 他 们 喜 欢 流 行 歌 所 以 达 到 那 种 程 度 的 话 	1 
p2train-2306	谋 求 农 业 科 技 方 面 有 了 划 时 代 的 发 明 	10 
p2train-2307	我 学 习 来 的 时 候 拼 命 地 学 	4 
p2train-2308	儿 女 小 的 小 时 候 还 不 懂 事 	5 
p2train-2309	理 所 当 然 的 会 减 少 产 量 的 	5 
p2train-2310	吃 “ 绿 色 食 品 ” 是 为 了 保 护 环 境 	9 10 
p2train-2311	但 是 人 的 共 同 生 活 实 际 上 有 很 多 困 难 	4 
p2train-2312	是 因 为 在 公 共 场 所 边 走 边 抽 烟 就 是 对 他 人 很 危 险 的 事 	1 
p2train-2313	之 所 以 他 总 买 蔬 菜 	1 
p2train-2314	我 们 在 生 活 中 应 该 注 意 这 儿 点 	12 
p2train-2315	我 就 是 成 人 了 	2 
p2train-2316	以 上 是 关 于 吸 烟 对 个 人 健 康 的 影 响 的 我 的 最 基 本 的 看 法 	16 
p2train-2317	我 也 是 个 被 动 吸 烟 者 	2 
p2train-2318	也 是 破 坏 周 围 人 的 身 体 健 康 	2 
p2train-2319	在 对 个 别 科 目 上 的 掌 握 与 学 习 能 力 上 也 有 所 差 别 	7 
p2train-2320	我 没 适 应 了 所 有 的 事 儿 	5 
p2train-2321	在 7 0 年 代 的 观 念 是 产 量 为 主 的 	1 
p2train-2322	大 家 应 知 道 “ 解 铃 人 还 须 系 铃 人 ” 	9 
p2train-2323	肯 定 会 遇 到 了 困 难 	6 
p2train-2324	对 我 们 所 不 能 接 受 的 哲 学 书 籍 	1 
p2train-2325	所 以 使 我 的 学 习 程 度 比 较 低 	3 
p2train-2326	对 孩 子 这 样 说 才 好 的 	9 
p2train-2327	而 且 “ 绿 色 食 品 ” 的 价 格 中 包 括 有 一 些 帮 助 缺 少 粮 食 的 人 的 钱 	15 
p2train-2328	有 的 人 想 起 以 前 自 己 谈 恋 爱 时 感 到 的 七 上 八 下 的 心 情 	14 15 16 
p2train-2329	其 内 容 是 无 论 是 什 么 人 都 不 得 在 公 共 场 所 边 抽 烟 	19 
p2train-2330	可 能 会 给 人 的 精 神 带 来 什 么 危 害 	11 12 
p2train-2331	幼 儿 园 和 小 学 也 对 孩 子 的 影 响 也 很 大 	7 
p2train-2332	可 是 我 想 这 是 人 云 亦 云 的 	11 
p2train-2333	昨 天 是 我 的 生 日 吧 	8 
p2train-2334	人 希 望 喜 欢 的 人 的 幸 福 是 理 所 当 然 的 	8 
p2train-2335	近 年 来 世 界 各 地 的 青 少 年 人 越 来 越 爱 在 公 共 场 所 抽 烟 	12 
p2train-2336	这 毛 病 就 是 把 自 己 应 该 做 的 事 让 别 人 做 的 	18 
p2train-2337	表 情 是 非 常 地 严 肃 	3 
p2train-2338	所 以 现 在 我 能 在 中 国 学 汉 语 和 学 中 国 文 学 的 	19 
p2train-2339	公 园 等 的 地 方 	4 
p2train-2340	什 么 国 家 也 都 存 在 的 	5 
p2train-2341	所 以 上 课 上 	5 
p2train-2342	由 于 音 乐 能 够 将 给 人 类 带 来 欢 乐 	7 
p2train-2343	他 患 了 癌 症 病 	6 
p2train-2344	不 能 不 回 日 本 看 爸 爸 了 	10 
p2train-2345	有 时 候 他 勉 强 地 让 我 喝 啤 酒 	7 8 
p2train-2346	上 次 你 给 我 打 电 话 来 告 诉 我 	4 5 
p2train-2347	但 我 觉 得 了 解 一 段 一 段 时 期 的 流 行 歌 	9 10 
p2train-2348	而 非 被 不 良 媒 体 污 染 了 他 们 的 思 想 	10 
p2train-2349	但 事 实 上 养 育 一 个 孩 子 长 大 是 一 件 非 常 复 杂 和 精 妙 的 事 情 	11 12 
p2train-2350	我 的 意 见 的 观 点 是 人 情 	3 4 5 
p2train-2351	我 就 向 公 司 提 出 “ 三 天 曼 谷 游 ” 这 个 计 划 	2 
p2train-2352	但 是 不 知 为 什 么 最 终 没 有 写 了 	13 
p2train-2353	吸 不 吸 烟 是 当 然 是 每 个 人 自 由 的 选 择 	5 
p2train-2354	我 特 别 失 望 了 	6 
p2train-2355	据 我 所 知 “ 安 乐 死 ” 这 种 药 是 几 年 以 来 成 为 医 学 方 面 的 热 门 话 题 	10 11 12 
p2train-2356	怎 么 能 解 决 呢 	3 
p2train-2357	在 日 本 的 公 共 场 所 的 大 部 分 变 成 了 “ 禁 止 抽 烟 ” 的 地 方 	1 
p2train-2358	他 从 上 小 学 时 他 就 有 家 教 	1 
p2train-2359	我 进 了 北 京 大 学 了 	8 
p2train-2360	回 想 在 小 的 时 候 的 你 的 样 子 	3 
p2train-2361	这 是 意 味 着 一 首 好 歌 曲 会 让 人 净 化 精 神 	2 
p2train-2362	我 们 应 该 先 讨 论 而 解 决 这 个 粮 食 分 配 问 题 	8 
p2train-2363	妈 妈 那 一 时 代 时 最 重 要 的 问 题 是 小 康 问 题 	7 
p2train-2364	刚 学 习 汉 语 的 时 候 特 别 注 意 地 练 习 关 于 发 音 和 声 调 	16 17 
p2train-2365	就 明 显 地 父 母 比 孩 子 强 	4 
p2train-2366	因 为 每 个 人 都 有 自 己 的 喜 悦 爱 好 的 	15 
p2train-2367	觉 得 这 也 许 是 我 能 发 挥 一 切 潜 力 的 机 会 	11 12 
p2train-2368	一 定 要 吃 北 京 烤 鸭 的 	9 
p2train-2369	所 以 别 为 我 担 心 好 了 	8 9 
p2train-2370	在 沙 漠 中 长 了 的 草 也 要 吃 下 	12 
p2train-2371	我 觉 得 这 个 时 候 丈 夫 要 帮 助 她 留 下 在 这 个 世 界 	15 
p2train-2372	现 在 有 大 部 分 人 听 音 乐 	3 
p2train-2373	可 是 周 围 的 人 在 抽 烟 	1 2 
p2train-2374	她 们 都 先 给 她 分 菜 了 	9 
p2train-2375	男 女 分 校 是 不 能 完 全 避 免 到 早 恋 的 可 能 	12 
p2train-2376	而 一 直 到 回 味 以 前 	4 
p2train-2377	教 我 哪 些 能 吃 的 	7 
p2train-2378	妈 妈 就 是 一 个 人 把 我 给 养 大 	4 
p2train-2379	外 向 的 	3 
p2train-2380	我 有 办 法 让 公 司 在 营 业 成 本 上 减 少 开 支 	11 12 
p2train-2381	有 的 时 候 我 们 要 努 力 地 做 个 事 情 	12 
p2train-2382	我 们 的 社 会 生 活 是 不 是 男 女 分 开 的 	8 
p2train-2383	还 有 在 媒 体 上 经 常 播 出 关 于 绿 色 食 品 或 者 无 公 害 	3 
p2train-2384	为 了 现 在 的 利 益 而 受 到 严 重 污 染 的 蔬 菜 及 土 壤 壤 	21 
p2train-2385	他 们 不 仅 在 韩 国 喜 欢 他 们 的 歌 迷 特 别 多 	3 4 
p2train-2386	我 想 他 们 俩 的 这 样 做 当 然 不 好 	6 
p2train-2387	有 一 个 人 吸 烟 对 公 众 的 危 害 性 也 太 大 了 	1 
p2train-2388	我 承 认 “ 安 乐 死 ” 的 最 重 要 的 原 因 是 要 求 “ 安 乐 死 ” 的 人 的 痛 苦 太 极 了 	29 
p2train-2389	家 里 有 没 有 受 到 影 响 没 有 呢 	10 11 
p2train-2390	对 早 恋 也 根 本 是 “ 治 标 不 治 本 ” 的 行 为 	5 6 
p2train-2391	我 认 为 吃 “ 绿 色 食 品 ” 比 使 用 化 肥 而 多 生 产 更 很 重 要 	21 
p2train-2392	最 近 常 常 听 到 的 流 行 歌 曲 的 大 部 分 就 是 分 手 的 内 容 或 者 两 个 人 相 恋 时 的 快 乐 什 么 的 , 而 且 有 的 歌 词 里 有 有 一 点 不 好 意 思 的 话 	46 
p2train-2393	面 对 的 困 难 或 挫 折 时 	3 
p2train-2394	这 就 是 “ 安 乐 死 ” 公 认 的 要 求 越 来 越 高 了 的 原 因 	18 
p2train-2395	父 亲 和 母 亲 吵 架 了 	8 
p2train-2396	我 下 课 就 去 操 场 练 习 的 	10 
p2train-2397	这 种 人 才 会 发 展 的 	8 
p2train-2398	面 面 相 觑 之 余 	5 6 
p2train-2399	第 一 个 原 因 是 不 要 给 非 吸 烟 者 不 好 的 影 响 	16 
p2train-2400	然 后 再 到 上 海 了 	7 
p2train-2401	对 我 很 好 的 朋 友 	1 
p2train-2402	不 知 您 是 怎 是 怎 么 过 的 	6 7 
p2train-2403	最 后 我 昏 倒 下 去 了 	6 7 
p2train-2404	才 后 悔 起 来 了 	6 
p2train-2405	她 想 学 日 语 所 以 我 帮 她 的 学 习 	11 
p2train-2406	您 可 去 国 家 图 书 馆 借 到 些 书 	11 
p2train-2407	她 本 来 考 上 的 高 中 是 专 门 为 了 培 养 职 业 人 才 的 学 校 	12 13 
p2train-2408	产 量 会 大 大 降 低 的 	8 
p2train-2409	年 纪 大 的 人 们 应 该 当 作 对 青 少 年 的 榜 样 	11 
p2train-2410	但 他 们 对 互 相 感 到 不 满 	4 
p2train-2411	安 乐 死 是 不 是 容 易 做 的 	6 
p2train-2412	我 在 3 年 前 从 大 学 毕 业 	2 
p2train-2413	但 结 果 我 没 考 上 了 	8 
p2train-2414	另 外 现 在 在 中 国 有 很 大 的 教 育 问 题 	5 
p2train-2415	手 机 电 话 已 经 成 为 一 般 都 有 的 东 西 	3 4 
p2train-2416	不 过 现 在 我 的 这 些 朋 友 他 们 跟 父 母 搬 家 了 	11 12 
p2train-2417	工 作 经 验 总 时 间 是 三 年 半 	3 4 
p2train-2418	我 觉 得 流 行 歌 和 喜 欢 流 行 歌 的 人 要 会 控 制 自 己 	4 5 6 7 
p2train-2419	帮 助 父 母 的 种 田 	5 
p2train-2420	所 一 个 人 的 一 举 一 动 都 与 社 会 有 关 	1 
p2train-2421	父 母 应 该 先 须 要 了 解 子 女 的 文 化 和 想 法 	6 7 
p2train-2422	这 是 意 味 着 吸 烟 者 很 多 	2 
p2train-2423	我 们 毕 竟 生 存 在 一 个 集 团 社 会 	10 11 
p2train-2424	那 么 我 最 近 又 开 始 了 听 另 一 种 外 语 的 流 行 音 乐 	1 2 
p2train-2425	对 我 来 说 他 是 个 我 认 识 的 唯 一 的 “ 超 人 ” 	7 
p2train-2426	而 她 也 从 不 期 望 他 们 还 钱 回 给 她 	12 
p2train-2427	我 也 是 大 学 毕 业 了 	3 
p2train-2428	不 过 我 这 个 人 有 时 自 己 问 自 己 ： 我 为 什 么 学 中 文 	4 5 6 
p2train-2429	所 以 我 们 生 活 中 可 以 看 到 用 绿 色 的 东 西 	12 
p2train-2430	市 政 府 越 来 越 针 对 着 污 染 环 境 的 人 作 出 各 种 严 厉 的 惩 罚 措 施 	4 5 6 
p2train-2431	关 于 这 个 问 题 上 	7 
p2train-2432	人 们 按 自 己 的 要 求 来 选 择 它 的 	13 
p2train-2433	今 日 通 过 报 章 获 悉 贵 旅 游 公 司 正 在 招 聘 人 才 加 入 行 列 	20 21 22 23 
p2train-2434	最 理 想 的 情 况 是 男 女 双 方 都 有 一 个 共 同 兴 趣 的 生 活 环 境 	18 19 
p2train-2435	男 女 应 该 从 小 就 一 起 生 活 就 好 	12 13 
p2train-2436	流 行 歌 曲 是 当 时 认 群 众 最 爱 听 的 歌 曲 	8 
p2train-2437	好 唱 的 	3 
p2train-2438	我 只 是 个 很 普 普 通 通 的 一 个 年 轻 人 	11 12 
p2train-2439	在 社 会 也 要 以 规 定 来 限 制 吸 烟 	1 
p2train-2440	抽 烟 就 不 是 个 人 的 问 题 	3 
p2train-2441	我 对 这 个 件 事 有 意 见 	4 
p2train-2442	也 可 以 说 病 人 这 样 想 的 是 很 自 然 的 	10 
p2train-2443	不 健 康 的 话 我 们 什 么 也 不 会 的 	13 
p2train-2444	我 也 想 了 怎 么 办 才 好 呢 	4 
p2train-2445	怎 么 把 它 实 行 好 真 的 是 政 府 最 难 解 决 的 事 情 真 服 的 障 碍 	20 21 22 23 24 
p2train-2446	不 过 在 世 界 上 有 好 多 个 贫 困 国 家 或 地 区 	10 
p2train-2447	但 如 果 他 们 吃 了 会 有 害 于 人 的 健 康 的 东 西 后 死 了 	8 
p2train-2448	现 在 吸 烟 者 很 困 难 	5 
p2train-2449	在 目 前 	1 
p2train-2450	在 日 本 吃 的 都 是 “ 绿 色 食 品 ” 的 蔬 菜 和 水 果 	11 12 
p2train-2451	我 在 日 本 大 阪 府 出 生 了 	10 
p2train-2452	但 是 我 在 前 面 说 的 那 样 喜 欢 歌 星 到 痴 迷 的 程 度 或 太 过 分 的 听 流 行 歌 曲 而 伤 害 身 体 健 康 是 可 不 行 的 	39 
p2train-2453	她 的 病 情 恶 化 一 方 	7 8 
p2train-2454	这 是 因 为 我 从 小 到 大 跟 母 亲 过 的 时 间 最 长 而 我 的 大 部 分 的 教 育 由 母 亲 来 负 责 的 	34 
p2train-2455	教 室 里 很 乱 七 八 糟 的 	4 
p2train-2456	现 在 也 很 多 病 人 和 伤 人 从 早 到 晚 痛 苦 	3 
p2train-2457	在 许 多 地 方 被 禁 止 吸 烟 	6 
p2train-2458	这 样 的 想 法 就 会 发 生 了 没 水 喝 的 情 况 	10 
p2train-2459	新 来 的 和 尚 个 子 高 高 的 像 松 树 一 样 的 	16 
p2train-2460	我 很 感 谢 上 天 安 排 让 我 在 这 美 满 的 家 庭 里 出 世 	9 
p2train-2461	其 实 现 在 中 国 生 活 没 去 的 地 方 这 么 多 	7 8 
p2train-2462	这 种 情 况 只 有 在 我 的 身 上 才 发 生 的 	15 
p2train-2463	可 是 我 长 得 这 么 大 以 后 才 知 道 他 们 的 事 情 	5 
p2train-2464	我 目 前 是 在 本 地 一 家 著 名 的 广 告 公 司 的 设 计 师 	5 
p2train-2465	我 从 事 于 教 育 工 作 	4 
p2train-2466	于 是 我 们 很 难 避 免 会 发 生 的 矛 盾 	12 
p2train-2467	对 关 键 是 这 里 	1 
p2train-2468	一 天 过 一 天 	3 
p2train-2469	他 每 年 拍 了 一 部 电 影 	5 
p2train-2470	现 在 回 头 想 我 也 不 知 道 那 时 我 为 什 么 那 么 想 着 	20 
p2train-2471	让 我 在 这 里 再 留 下 两 	8 
p2train-2472	可 是 依 赖 心 强 的 人 的 话 	9 10 
p2train-2473	这 是 我 的 意 见 上 的 解 答 	7 8 9 10 
p2train-2474	这 样 做 才 能 够 把 “ 父 母 是 孩 子 的 第 一 任 老 师 ” 这 一 句 话 变 成 现 实 了 	29 
p2train-2475	因 为 最 大 的 原 因 就 是 那 件 事 是 你 真 正 想 要 做 的 	1 2 
p2train-2476	小 个 孩 子 在 出 生 后 大 多 都 是 在 父 母 的 关 怀 和 爱 护 下 长 大 的 	2 
p2train-2477	一 起 床 该 用 别 的 语 言 就 是 汉 语 	6 
p2train-2478	这 样 可 以 感 到 自 己 的 存 在 感 	12 
p2train-2479	而 且 你 也 不 用 去 花 钱 去 买 C D 或 M D 就 能 听 到 很 多 流 行 的 歌 曲 	7 
p2train-2480	在 学 校 我 自 己 做 纸 花 送 给 你 们 了 	14 
p2train-2481	长 大 在 那 儿 	2 
p2train-2482	人 的 素 质 是 和 环 境 有 关 	5 
p2train-2483	我 正 在 自 己 找 工 作 	4 5 
p2train-2484	其 实 这 代 沟 问 题 是 不 算 那 么 大 的 问 题 	8 
p2train-2485	有 一 天 第 一 个 和 尚 想 提 了 意 见 	9 
p2train-2486	措 施 的 第 二 个 好 处 是 减 少 了 公 民 把 钱 花 在 香 烟 上 的 费 用 	15 16 
p2train-2487	当 时 我 也 非 常 害 怕 父 亲 了 	11 
p2train-2488	流 行 音 乐 也 是 继 续 发 展 	6 
p2train-2489	我 很 担 心 你 了 	6 
p2train-2490	我 今 年 的 春 假 的 时 候 跟 一 个 朋 友 一 起 去 了 大 连 	4 
p2train-2491	必 须 改 变 禁 止 吸 烟 者 们 的 不 顾 环 境 的 态 度 	5 6 
p2train-2492	如 果 只 有 一 个 人 在 此 时 	9 10 
p2train-2493	就 不 能 实 现 的 幸 福 了 	6 
p2train-2494	一 个 星 期 不 出 门 每 天 在 家 里 哭 着 	14 
p2train-2495	我 总 找 一 些 能 提 高 自 己 对 文 学 修 养 的 书 	11 
p2train-2496	有 一 天 提 出 了 在 外 边 山 里 全 班 同 学 一 起 去 吃 午 饭 	6 
p2train-2497	所 以 我 觉 得 这 是 一 种 对 文 化 方 面 的 个 人 态 度 	13 14 
p2train-2498	可 对 我 们 现 代 人 也 受 到 不 少 教 训 	2 
p2train-2499	我 去 年 读 了 朱 自 清 写 的 《 背 影 》 了 	15 
p2train-2500	但 是 谁 也 都 有 觉 得 “ 麻 烦 ” 的 事 	4 
p2train-2501	你 可 能 是 遇 到 许 多 困 难 	4 
p2train-2502	故 意 让 人 家 置 于 在 痛 苦 中 的 话 	8 
p2train-2503	诸 如 保 持 市 容 整 洁 等 问 题 只 要 每 一 个 吸 烟 者 不 要 乱 扔 烟 应 该 能 解 决 的 	30 
p2train-2504	他 就 是 一 个 日 本 人 	2 
p2train-2505	但 他 们 不 一 定 也 就 是 最 好 的 老 师 	7 
p2train-2506	但 我 的 最 常 去 的 国 家 乃 是 中 国 	3 
p2train-2507	所 以 我 的 父 母 终 于 下 决 心 让 我 下 去 家 乡 过 日 子 	14 
p2train-2508	吸 烟 者 的 肺 越 坏 了 	8 
p2train-2509	我 们 要 努 力 要 找 到 人 类 和 自 然 共 存 的 办 法 	6 
p2train-2510	商 业 交 流 或 日 常 生 活 中 的 各 项 琐 事 中 	16 
p2train-2511	多 给 提 供 一 些 粮 食 	2 
p2train-2512	美 国 的 加 州 已 经 禁 止 了 在 公 共 场 所 的 吸 烟 	16 
p2train-2513	甚 至 有 的 国 家 人 民 就 饿 死 	9 
p2train-2514	所 以 人 们 做 农 产 品 加 工 了 	11 
p2train-2515	他 自 己 就 拿 水 桶 到 山 底 下 抬 水 吃 力 地 走 着 回 来 喝 	21 
p2train-2516	北 京 大 学 毕 业 了 	7 
p2train-2517	她 非 常 的 欣 赏 他 	4 
p2train-2518	祝 你 们 的 健 康 祝 你 们 长 寿 	4 
p2train-2519	谁 也 不 能 不 说 自 己 和 父 母 是 完 全 不 同 的 人 	5 
p2train-2520	久 而 久 之 就 是 感 到 身 体 的 不 适 	6 
p2train-2521	父 母 有 的 时 候 不 了 解 子 女 时 代 的 想 法 	12 13 
p2train-2522	所 以 我 认 为 在 公 共 场 所 抽 烟 就 罚 款 的 话 应 该 不 公 平 	18 19 
p2train-2523	几 亿 人 因 缺 少 粮 食 是 很 严 重 	4 
p2train-2524	他 们 的 朋 友 经 常 过 了 晚 上 十 二 点 给 他 们 打 电 话 来 	21 
p2train-2525	我 就 用 水 平 不 够 高 的 汉 语 但 真 诚 地 回 答 了 	12 
p2train-2526	和 人 体 和 健 康 是 最 重 要 的 	1 
p2train-2527	他 她 们 对 我 的 影 响 很 大 	1 
p2train-2528	关 于 我 的 将 来 了 	7 
p2train-2529	吸 烟 可 以 说 是 发 作 时 间 比 较 慢 的 自 杀 剂 	1 
p2train-2530	思 考 都 从 和 他 身 边 的 人 学 习 	4 
p2train-2531	“ 安 乐 死 ” 这 个 问 题 肯 定 会 更 引 起 人 们 的 注 目 了 	21 
p2train-2532	这 样 才 能 开 始 着 手 个 人 吸 烟 的 问 题 了 	16 
p2train-2533	我 最 理 想 的 方 式 是 在 上 大 学 时 结 交 女 朋 友 的 	19 
p2train-2534	如 果 在 学 校 里 的 学 校 都 是 女 的 	7 8 9 
p2train-2535	若 名 名 认 为 自 己 不 用 出 什 么 力 	2 3 
p2train-2536	我 认 为 人 们 对 健 康 意 识 的 变 化 是 一 个 很 大 的 因 素 	6 
p2train-2537	一 般 家 庭 大 部 分 都 是 正 常 反 应 的 	14 
p2train-2538	还 没 有 经 验 从 事 过 这 类 的 行 业 	8 
p2train-2539	所 以 人 们 之 间 常 常 发 生 了 许 多 问 题 	11 
p2train-2540	可 是 实 际 上 是 不 是 的 	6 
p2train-2541	我 在 机 场 上 准 备 回 国 时 	5 
p2train-2542	许 多 人 人 们 在 结 构 调 整 的 潮 流 下 离 开 公 司 了 	4 5 
p2train-2543	因 为 这 些 声 音 都 是 不 是 故 意 的 	8 
p2train-2544	神 秘 的 	3 
p2train-2545	我 们 多 次 的 结 伴 踏 上 旅 途 	5 
p2train-2546	也 仍 然 有 原 来 的 技 术 	2 3 
p2train-2547	但 我 想 世 界 上 没 有 一 个 人 没 有 欲 望 的 	16 
p2train-2548	用 这 段 期 间 父 母 应 该 做 的 是 什 么 呢 	1 
p2train-2549	首 先 听 流 行 歌 曲 的 能 让 人 愉 快 	8 
p2train-2550	这 个 是 我 们 叫 “ 食 中 毒 ” 	3 
p2train-2551	因 为 和 他 们 的 喜 好 和 流 行 歌 曲 不 太 相 合 	3 
p2train-2552	妈 妈 你 们 别 担 心 吧 	8 
p2train-2553	有 得 知 消 息 后 变 得 很 是 反 叛 	1 
p2train-2554	很 多 人 在 感 情 十 分 开 放 	4 
p2train-2555	做 好 的 女 儿 	3 
p2train-2556	我 不 能 理 解 和 明 白 对 吸 烟 的 人 的 心 理 	9 
p2train-2557	那 么 这 些 国 家 都 可 以 帮 助 而 解 决 饥 饿 了 	12 
p2train-2558	但 生 命 具 有 跟 任 何 其 他 东 西 也 比 不 了 的 重 要 性 	6 
p2train-2559	女 人 的 吸 烟 比 男 人 更 不 好 	3 
p2train-2560	但 是 她 心 不 灰 心 	4 
p2train-2561	还 有 当 你 的 好 个 女 儿 	7 
p2train-2562	广 告 设 计 师 等 职 位 	7 8 
p2train-2563	我 的 一 个 男 同 学 是 小 学 一 年 级 的 时 候 	8 
p2train-2564	本 人 也 副 修 读 了 英 语 及 法 语 	6 
p2train-2565	这 种 安 排 对 我 们 社 会 的 家 庭 结 合 力 有 这 一 种 很 大 的 帮 助 	17 
p2train-2566	这 是 值 得 吗 	2 
p2train-2567	所 以 现 在 安 乐 死 还 没 有 被 社 会 接 受 了 	16 
p2train-2568	水 桶 怎 么 也 没 满 水 	8 
p2train-2569	家 庭 问 题 是 大 部 分 都 起 源 于 代 沟 问 题 	5 
p2train-2570	当 学 生 踏 入 社 会 服 务 时 	8 9 
p2train-2571	我 伯 父 和 爸 爸 讨 论 给 他 安 乐 地 死 的 事 情 	13 
p2train-2572	从 而 能 帮 助 孩 子 解 决 他 们 生 活 中 遇 到 的 难 题 	3 
p2train-2573	长 辈 人 不 喜 欢 	3 
p2train-2574	从 南 京 到 拉 萨 的 路 	7 8 
p2train-2575	我 也 才 知 道 了 为 什 么 要 学 习 	6 
p2train-2576	我 并 在 一 间 公 司 工 作 	2 
p2train-2577	这 就 是 吸 烟 者 被 危 害 别 人 的 健 康 的 现 象 	7 
p2train-2578	这 环 境 对 孩 子 来 说 很 好 的 	11 
p2train-2579	也 不 愿 受 吃 苦 	4 
p2train-2580	每 名 个 人 都 有 不 同 的 意 见 吧 	2 
p2train-2581	他 们 开 始 讲 究 吃 得 什 么 样 的 	11 12 
p2train-2582	在 荷 兰 的 法 律 同 意 了 实 行 安 乐 死 	1 
p2train-2583	所 谓 有 “ 绿 色 食 品 ” 就 是 其 代 表 作 	3 
p2train-2584	我 要 去 西 安 玩 	1 2 
p2train-2585	充 满 幸 福 了 	5 
p2train-2586	我 一 直 记 住 以 等 人 家 说 完 话 时 我 才 开 口 	6 
p2train-2587	反 而 我 是 想 说 无 论 学 生 有 没 有 男 女 分 班 	1 2 
p2train-2588	一 切 对 孩 子 来 说 可 能 可 以 说 是 迟 来 的 学 习 	10 11 12 
p2train-2589	学 院 的 生 活 费 都 是 由 自 己 半 工 半 读 赚 钱 得 来 的 	1 2 3 
p2train-2590	吸 烟 对 人 体 的 一 些 呼 吸 系 统 影 响 非 常 大 	7 8 
